"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:35:00","2025-09-16T04:35:00.000Z",1,29.5,29.5,3596,428,428,29.4,29.4,34.9,76,76,23,18,1,19.9,30.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:30:00","2025-09-16T04:30:00.000Z",2,30.7,30.7,3714,430,430,29.4,29.4,35,76,76,23,18,1,20.3,31.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:25:00","2025-09-16T04:25:00.000Z",2,29.9,29.9,3766,427,427,29.3,29.3,34.9,76,76,24,20,1,20.2,30.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:20:00","2025-09-16T04:20:00.000Z",1,30.5,30.5,4073,428,428,29.4,29.4,35.1,77,77,27,23,1,20.6,31.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:15:00","2025-09-16T04:15:00.000Z",2,31.2,31.2,3986,432,432,29.4,29.4,35.1,77,77,33,30,1,21.1,33.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:10:00","2025-09-16T04:10:00.000Z",2,32.3,32.3,4135,434,434,29.4,29.4,35.3,78,78,34,32,1,21.5,34.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:05:00","2025-09-16T04:05:00.000Z",1,32.2,32.2,4035,442,442,29.4,29.4,35.7,79,79,34,32,1,21.4,35.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 11:00:00","2025-09-16T04:00:00.000Z",2,33.2,33.2,4357,465,465,29.3,29.3,35.5,79,79,32,30,1,22.2,36.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:55:00","2025-09-16T03:55:00.000Z",2,34.5,34.5,4414,484,484,29.4,29.4,35.6,79,79,32,29,1,22.5,38.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:50:00","2025-09-16T03:50:00.000Z",1,33.8,33.8,4482,484,484,29.4,29.4,35.5,78,78,32,29,1,22.5,36.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:45:00","2025-09-16T03:45:00.000Z",2,35.3,35.3,4638,483,483,29.3,29.3,35.5,79,79,30,27,1,23,40.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:40:00","2025-09-16T03:40:00.000Z",2,30.8,30.8,3900,456,456,29.2,29.2,35,79,79,24,20,1,20.7,32.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:35:00","2025-09-16T03:35:00.000Z",1,29.5,29.5,3665,435,435,29.1,29.1,34.8,79,79,23,18,1,19.8,30.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:30:00","2025-09-16T03:30:00.000Z",2,27.7,27.7,3366,446,446,29,29,34.7,79,79,23,18,1,18.2,28.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:25:00","2025-09-16T03:25:00.000Z",2,26.8,26.8,3310,463,463,29.1,29.1,34.9,79,79,24,20,1,18.6,27.1
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:20:00","2025-09-16T03:20:00.000Z",1,29.2,29.2,3518,530,530,29.1,29.1,35,80,80,24,20,1,19.8,29.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:15:00","2025-09-16T03:15:00.000Z",2,27.2,27.2,3232,470,470,29,29,34.8,80,80,24,20,1,18.4,27.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 10:10:00","2025-09-16T03:10:00.000Z",2,28.5,28.5,3576,516,516,29.1,29.1,35,80,80,26,22,1,19.1,28.8
